序号,代码,名称,市场代码简称,最新价(元),涨跌幅(%),涨跌额(元),最高价(元),最低价(元),换手率(%),量比,成交量(股),成交额(元),市盈率(动)(倍),市净率(倍),总市值(元),流通市值(元)
154,300539,横河精密,SZ,17.39,5.65,0.930,17.68,16.50,3.93,1.57,856.61万,1.49亿,116.61,4.0809,46.62亿,37.89亿
155,301076,新瀚新材,SZ,20.63,5.63,1.100,20.95,19.93,3.92,1.66,597.59万,1.23亿,74.76,3.9521,47.07亿,31.47亿
156,600228,返利科技,SH,7.74,5.59,0.410,8.06,7.00,20.91,3.68,8698.32万,6.60亿,-57.50,8.4450,32.25亿,32.20亿
157,300476,胜宏科技,SZ,190.40,5.57,10.040,204.75,190.30,4.81,1.22,4160.82万,82.44亿,36.31,11.9461,1871.22亿,1647.33亿
158,600183,生益科技,SH,105.64,5.56,5.560,110.09,105.44,3.35,1.20,8084.23万,87.85亿,55.39,16.0531,2566.00亿,2547.77亿
159,603991,领先股份,SH,111.65,5.56,5.880,115.10,110.00,4.49,1.23,401.78万,4.53亿,83.64,4.8504,170.50亿,99.97亿
160,000603,盛达资源,SZ,25.40,5.53,1.330,26.15,24.46,9.25,0.95,6164.43万,15.69亿,22.46,5.0185,175.25亿,169.35亿
161,600545,卓郎智能,SH,3.82,5.52,0.200,3.95,3.80,5.75,1.21,1.03亿,3.98亿,-56.74,2.6055,68.30亿,68.30亿
162,603881,数据港,SH,24.28,5.52,1.270,24.85,23.73,5.04,1.43,4343.33万,10.57亿,116.86,6.2655,209.31亿,209.31亿
163,002421,达实智能,SZ,2.87,5.51,0.150,2.97,2.77,11.48,1.85,2.30亿,6.60亿,-93.79,2.2412,60.86亿,57.50亿
164,002261,拓维信息,SZ,25.93,5.45,1.340,26.45,25.16,6.55,1.43,7502.73万,19.46亿,132.91,12.5431,326.71亿,297.19亿
165,300458,全志科技,SZ,33.54,5.41,1.720,34.76,32.00,13.43,0.95,1.09亿,36.36亿,41.04,10.4559,333.27亿,273.09亿
166,601138,工业富联,SH,56.70,5.39,2.900,57.57,56.30,0.75,1.27,1.48亿,84.32亿,26.55,6.8893,1.13万亿,1.13万亿
