序号,代码,名称,市场代码简称,最新价(元),涨跌幅(%),涨跌额(元),最高价(元),最低价(元),换手率(%),量比,成交量(股),成交额(元),市盈率(动)(倍),市净率(倍),总市值(元),流通市值(元)
81,300657,弘信电子,SZ,31.95,7.68,2.280,33.16,31.40,7.55,1.73,3535.85万,11.39亿,101.56,10.8424,154.04亿,149.69亿
82,000338,潍柴动力,SZ,27.95,7.67,1.990,28.44,27.55,2.59,1.38,1.28亿,36.01亿,19.57,2.5323,2414.94亿,1385.31亿
83,002472,双环传动,SZ,38.42,7.65,2.730,39.08,36.92,5.41,1.94,4048.93万,15.36亿,28.74,3.2439,326.57亿,287.61亿
84,300570,太辰光,SZ,114.00,7.63,8.080,123.13,113.69,9.77,1.33,1878.01万,22.20亿,98.41,16.7931,258.92亿,219.10亿
85,688292,浩瀚深度,SH,16.41,7.61,1.160,16.91,15.52,3.01,1.94,477.28万,7857.24万,-23.28,2.6931,25.99亿,25.99亿
86,600589,大位科技,SH,7.38,7.58,0.520,7.55,7.07,9.76,2.43,1.44亿,10.62亿,-85.79,17.6053,109.34亿,109.11亿
87,603626,科森科技,SH,13.00,7.53,0.910,13.30,12.52,9.83,2.97,5456.87万,7.17亿,4.68,3.1675,72.13亿,72.13亿
88,603667,五洲新春,SH,51.85,7.48,3.610,53.06,50.00,6.53,1.68,2392.25万,12.43亿,161.25,5.0362,198.66亿,189.88亿
89,002463,沪电股份,SZ,103.75,7.46,7.200,106.21,103.46,3.83,1.23,7363.13万,77.57亿,40.19,12.6141,1996.53亿,1994.92亿
90,002655,共达电声,SZ,22.85,7.33,1.560,23.42,22.11,11.18,1.71,4069.35万,9.39亿,398.28,10.1203,83.31亿,83.14亿
91,000681,视觉中国,SZ,17.96,7.29,1.220,18.41,16.64,9.87,2.27,6670.17万,11.90亿,13.17,3.2846,125.82亿,121.43亿
92,688361,中科飞测,SH,346.60,7.26,23.450,378.20,345.00,3.93,0.98,1384.57万,50.23亿,-448.86,23.7851,1220.21亿,1220.21亿
93,002938,鹏鼎控股,SZ,81.50,7.17,5.450,83.64,80.82,1.19,0.98,2759.86万,22.84亿,102.04,5.8418,1888.79亿,1883.32亿
94,002353,杰瑞股份,SZ,134.70,7.13,8.970,138.30,133.00,4.11,0.96,2842.37万,38.82亿,58.61,6.0547,1379.13亿,930.83亿
95,002368,太极股份,SZ,14.75,7.12,0.980,15.00,13.82,2.95,1.94,1830.95万,2.67亿,-19.21,2.3104,91.93亿,91.48亿
96,300660,江苏雷利,SZ,27.02,7.01,1.770,27.33,26.10,2.34,2.33,1361.91万,3.66亿,59.75,4.4991,157.06亿,156.97亿
97,300209,行云科技,SZ,27.90,6.90,1.800,30.00,27.28,17.32,1.45,1.29亿,36.80亿,1078.16,27.5732,259.09亿,207.27亿
98,688111,金山办公,SH,269.58,6.90,17.390,289.30,246.00,6.19,2.77,2873.69万,77.75亿,14.25,8.5412,1250.89亿,1250.89亿
99,000962,东方钽业,SZ,43.88,6.89,2.830,45.16,43.38,6.28,1.51,3158.15万,14.07亿,106.47,5.8663,231.45亿,220.79亿
100,300661,圣邦股份,SZ,95.73,6.87,6.150,101.19,95.41,3.33,1.07,2006.73万,19.78亿,132.63,12.2777,656.20亿,576.03亿
101,002850,科达利,SZ,182.31,6.86,11.710,183.10,174.00,3.23,1.30,676.69万,12.16亿,28.30,3.5982,522.01亿,382.23亿
102,600624,ST复华,SH,3.75,6.84,0.240,3.83,3.52,1.22,2.05,830.87万,3053.58万,-58.24,5.9947,25.48亿,25.48亿
103,603960,克来机电,SH,16.11,6.83,1.030,16.33,15.34,3.56,1.68,933.81万,1.48亿,373.68,3.7606,42.24亿,42.24亿
104,300394,天孚通信,SZ,171.01,6.81,10.910,185.03,170.93,5.04,1.39,5488.57万,98.41亿,94.75,34.1230,1865.42亿,1861.25亿
105,688809,强一股份,SH,441.03,6.79,28.030,482.80,439.15,9.07,1.02,235.01万,10.88亿,127.53,14.1066,571.40亿,114.28亿
106,688808,联讯仪器,SH,1640.00,6.77,104.000,1810.00,1630.81,10.03,1.08,193.63万,33.55亿,354.01,57.4033,1683.73亿,316.46亿
107,300339,润和软件,SZ,37.74,6.76,2.390,38.77,35.98,5.95,2.17,4627.34万,17.43亿,97.26,8.3718,300.57亿,293.50亿
108,002138,顺络电子,SZ,42.80,6.73,2.700,44.11,42.71,8.65,1.58,6628.38万,28.88亿,38.59,5.2568,345.10亿,328.00亿
109,002396,星网锐捷,SZ,26.06,6.67,1.630,26.77,25.40,10.75,0.67,8144.96万,21.27亿,133.10,2.8834,198.20亿,197.38亿
110,603002,宏昌电子,SH,12.31,6.67,0.770,12.69,12.10,6.89,1.38,7808.77万,9.74亿,7449.07,4.0598,139.61亿,139.61亿
111,000710,贝瑞基因,SZ,8.50,6.65,0.530,8.77,7.89,7.89,3.74,2599.19万,2.21亿,-38.06,2.0681,30.05亿,28.01亿
112,301123,奕东电子,SZ,57.56,6.65,3.590,61.87,57.51,5.33,1.15,879.85万,5.24亿,355.80,4.8179,135.06亿,95.00亿
113,301392,汇成真空,SZ,126.14,6.63,7.840,135.48,126.02,14.30,0.95,583.27万,7.63亿,114.70,16.8804,126.14亿,51.46亿
